"filename", "language", "Python", "XML", "CSS", "comment", "blank", "total"
"d:\Touhou-project\projects\Fairy-Kekkai-Workshop\Fairy-Kekkai-Workshop.py", "Python", 31, 0, 0, 20, 15, 66
"d:\Touhou-project\projects\Fairy-Kekkai-Workshop\app\common\config.py", "Python", 224, 0, 0, 131, 45, 400
"d:\Touhou-project\projects\Fairy-Kekkai-Workshop\app\common\event_bus.py", "Python", 29, 0, 0, 15, 17, 61
"d:\Touhou-project\projects\Fairy-Kekkai-Workshop\app\common\events.py", "Python", 57, 0, 0, 2, 8, 67
"d:\Touhou-project\projects\Fairy-Kekkai-Workshop\app\common\setting.py", "Python", 146, 0, 0, 8, 10, 164
"d:\Touhou-project\projects\Fairy-Kekkai-Workshop\app\common\style_sheet.py", "Python", 7, 0, 0, 2, 6, 15
"d:\Touhou-project\projects\Fairy-Kekkai-Workshop\app\components\config_card.py", "Python", 573, 0, 0, 108, 93, 774
"d:\Touhou-project\projects\Fairy-Kekkai-Workshop\app\components\dialog.py", "Python", 186, 0, 0, 23, 56, 265
"d:\Touhou-project\projects\Fairy-Kekkai-Workshop\app\components\download_card.py", "Python", 170, 0, 0, 41, 56, 267
"d:\Touhou-project\projects\Fairy-Kekkai-Workshop\app\components\info_card.py", "Python", 90, 0, 0, 16, 25, 131
"d:\Touhou-project\projects\Fairy-Kekkai-Workshop\app\components\infobar.py", "Python", 84, 0, 0, 14, 15, 113
"d:\Touhou-project\projects\Fairy-Kekkai-Workshop\app\components\project_card.py", "Python", 401, 0, 0, 54, 77, 532
"d:\Touhou-project\projects\Fairy-Kekkai-Workshop\app\components\sample_card.py", "Python", 65, 0, 0, 6, 26, 97
"d:\Touhou-project\projects\Fairy-Kekkai-Workshop\app\components\statistic_widget.py", "Python", 16, 0, 0, 2, 6, 24
"d:\Touhou-project\projects\Fairy-Kekkai-Workshop\app\components\system_tray.py", "Python", 45, 0, 0, 14, 12, 71
"d:\Touhou-project\projects\Fairy-Kekkai-Workshop\app\components\translate_card.py", "Python", 133, 0, 0, 30, 39, 202
"d:\Touhou-project\projects\Fairy-Kekkai-Workshop\app\components\videocr_card.py", "Python", 138, 0, 0, 31, 41, 210
"d:\Touhou-project\projects\Fairy-Kekkai-Workshop\app\resource\images\controls\download.svg", "XML", 0, 1, 0, 0, 0, 1
"d:\Touhou-project\projects\Fairy-Kekkai-Workshop\app\resource\images\controls\project.svg", "XML", 0, 1, 0, 0, 0, 1
"d:\Touhou-project\projects\Fairy-Kekkai-Workshop\app\resource\images\controls\setting.svg", "XML", 0, 1, 0, 0, 0, 1
